english,coptic,dialect,source,quality
"... if one urinates into a vessel with a narrow neck or jar, into any other vessel like these, without having been ordered by the elder, except for the place of those who are very ill and the elders of advanced years and these others, he is to ask the elder.",ⲣⲙⲏ ⲉϩⲣⲁⲓ ⲉⲩⲃⲁⲩⲕⲁⲗⲓⲟⲛ ⲏ ⲉϩⲣⲁⲓ ⲉⲩϣⲟϣⲟⲩ ⲉϩⲣⲁⲓ ⲉϭⲉⲗⲁⲁⲩ ⲛϩⲛⲁⲁⲩ ⲉϥⲧⲛⲧⲱⲛ ⲉⲛⲁⲓ ⲉⲙⲡⲟⲩⲟⲩⲉϩⲥⲁϩⲛⲉ ⲛⲁϥ ϩⲓⲧⲙⲡϩⲗⲗⲱ ⲉⲓⲙⲏⲧⲓ ⲡⲙⲁ ⲛⲛⲣⲱⲙⲉ ⲉⲧϣⲱⲛⲉ ⲙⲙⲁⲧⲉ ⲙⲛⲛϩⲗⲗⲟ ⲁⲩⲣϩⲁϩ ⲛⲣⲟⲙⲡⲉ ⲁⲩⲱ ⲛⲉⲓⲕⲟⲟⲩⲉ ⲉⲧⲣⲉⲩϣⲓⲛⲉ ⲛⲧⲟⲟⲧϥ ⲙⲡϩⲗⲗⲟ,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0001 (CC BY 4.0),gold
"And if it is necessary for some among us to use anything of this sort, to defecate into vessels of this sort through necessity or physical incapacity or hindrance to the foot making him unable to walk, they are to ask the elder.",ⲁⲩⲱ ⲉⲣϣⲁⲛⲟⲩⲁⲛⲁⲅⲕⲏ ϣⲱⲡⲉ ⲉⲧⲣⲉϩⲓⲟⲛⲉ ⲣⲭⲣⲉⲓⲁ ⲛϩⲱⲃ ⲛⲧⲉⲓϩⲉ ϩⲣⲁⲓ ⲛϩⲏⲧⲛ ⲉⲧⲣⲉⲩⲥⲣⲣⲁⲧⲟⲩ ⲉϩⲣⲁⲓ ⲉⲗⲁⲁⲩ ⲛϩⲛⲁⲁⲩ ⲛⲧⲉⲓⲙⲓⲛⲉ ⲉⲧⲃⲉⲧⲁⲛⲁⲅⲕⲏ ⲛⲟⲩⲡⲗⲏⲅⲏ · ⲏ ⲟⲩϫⲣⲟⲡ ⲉⲁϥϣⲱⲡⲉ ϩⲓⲧⲟⲩⲉⲣⲏⲧⲉ ⲛⲟⲩⲁ ⲉⲙⲛϭⲟⲙ ⲙⲙⲟϥ ⲉⲙⲟⲟϣⲉ ⲉⲉⲓ ⲉⲃⲟⲗ ⲉⲩⲉϫⲛⲉⲡϩⲗⲗⲟ,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0002 (CC BY 4.0),gold
"Apart from these, children or anyone else, if they defecate into any vessels of this sort, let them be accursed.",ⲁⲩⲱ ⲭⲱⲣⲓⲥⲛⲁⲓ ϩⲉⲛϣⲏⲣⲉ ϣⲏⲙ ⲏ ϭⲉⲗⲁⲁⲩ ⲛⲣⲱⲙⲉ ⲉⲩϣⲁⲛⲥⲣⲣⲁⲧⲟⲩ ⲉϩⲣⲁⲓ ϩⲛⲗⲁⲁⲩ ⲛϩⲛⲁⲁⲩ ⲛⲧⲉⲓⲙⲓⲛⲉ ⲉⲩⲉϣⲱⲡⲉ ⲉⲩⲥϩⲟⲩⲟⲣⲧ,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0003 (CC BY 4.0),gold
The one who ordains a sinful deed against his neighbour in deceitfulness is accursed.,ϥⲥϩⲟⲩⲟⲣⲧ ⲛϭⲓⲡⲉⲧⲛⲁⲧⲱϣ ⲛⲟⲩϩⲱⲃ ⲉϥⲟ ⲛⲛⲟⲃⲉ ⲉⲡⲉⲧϩⲓⲧⲟⲩⲱϥ ϩⲛⲟⲩⲙⲛⲧⲣⲉϥϩⲓⲗⲁ,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0004 (CC BY 4.0),gold
"He does not know, but because of ill-feeling he says that which is not, whether a man or woman.",ⲉⲙⲉϥⲉⲓⲙⲉ ⲉⲡⲱⲣϫ · ⲁⲗⲗⲁ ⲉⲧⲃⲉⲟⲩⲙⲟⲥⲧⲉ ⲉϥϫⲱ ⲙⲡⲉⲧⲉⲛϥϣⲟⲟⲡ ⲁⲛ ⲉϣⲱⲡⲉ ⲉⲩϩⲟⲟⲩⲧ ⲡⲉ ⲉϣⲱⲡⲉ ⲉⲩⲥϩⲓⲙⲉ ⲧⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0005 (CC BY 4.0),gold
"He is accursed who says by way of confusion that he has seen in a dream how so-and-so and such-and-such destroy themselves with deeds of wickedness, whether man or woman.",ϥⲥϩⲟⲩⲟⲣⲧ ⲛϭⲓⲡⲉⲧϫⲱ ⲙⲙⲟⲥ ϩⲛⲟⲩⲙⲛⲧⲣⲉϥⲧⲱϩ ϫⲉⲁⲓⲛⲁⲩ ⲉⲩⲣⲁⲥⲟⲩ ⲉⲣⲉⲛⲓⲙ ⲙⲛⲛⲓⲙ ϣⲱⲗ ⲙⲙⲟⲟⲩ ⲉⲃⲟⲗ ϩⲣⲁⲓ ϩⲛϩⲱⲃ ⲛⲓⲙ ⲙⲡⲟⲛⲏⲣⲟⲛ ⲉϣⲱⲡⲉ ⲉⲩϩⲟⲟⲩⲧ ⲡⲉ ⲉϣⲱⲡⲉ ⲉⲩⲥϩⲓⲙⲉ ⲧⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0006 (CC BY 4.0),gold
"They are all accursed who practice deceit in any assembly of the Lord, so that God is angry with a great many people and turns His face from them in anger because of the iniquities of those among us who practice wrongful deeds, covertly or overtly.",ⲥⲉ ⲥϩⲟⲩⲟⲣⲧ ⲛϭⲓⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲧⲉⲓⲣⲉ ⲛϩⲉⲛⲕⲣⲟϥ ϩⲣⲁⲓ ϩⲛⲥⲩⲛⲁⲅⲱⲅⲏ ⲧⲏⲣⲟⲩ ⲙⲡϫⲟⲉⲓⲥ · ⲉⲧⲣⲉⲡⲛⲟⲩⲧⲉ ϭⲱⲛⲧ ⲉⲩⲛⲟϭ ⲙⲙⲏⲏϣⲉ ⲛϥⲕⲧⲟ ⲙⲡⲉϥϩⲟ ⲉⲃⲟⲗ ⲙⲙⲟⲟⲩ ϩⲛⲟⲩⲟⲣⲅⲏ ⲉⲧⲃⲉⲧⲙⲛⲧϣⲁϥⲧⲉ ⲛⲛⲉⲧⲉⲓⲣⲉ ⲛⲧⲁⲛⲟⲙⲓⲁ ϩⲛⲟⲩϩⲱⲡ ⲏ ϩⲛⲟⲩⲱⲛϩ ⲉⲃⲟⲗ ϩⲣⲁⲓ ⲛϩⲏⲧⲛ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0007 (CC BY 4.0),gold
"And woe to those by whom God will be distressed and from whose midst He will seek for a way to come, like a just man, having sought for a way to abandon a people because of their wicked deeds, as the prophet says: Who is it that will give to me in the desert a distant dwelling place? That I may abandon this people and remain far removed from them.'",ⲁⲩⲱ ⲟⲩⲟⲓ ⲛⲛⲉⲧⲉⲣⲉⲡⲛⲟⲩⲧⲉ ⲛⲁϩⲟϫϩϫ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ ⲁⲩⲱ ⲛϥⲕⲱⲧⲉ ⲛⲥⲁⲧϩⲉ ⲛⲉⲓ ⲉⲉⲃⲟⲗ ϩⲛⲧⲉⲩⲙⲏⲧⲉ · ⲛⲧϩⲉ ⲛⲟⲩⲣⲱⲙⲉ ⲛⲇⲓⲕⲁⲓⲟⲥ ⲉⲁϥⲕⲱⲧⲉ ⲛⲥⲁⲧϩⲉ ⲛⲕⲱ ⲛⲥⲱϥ ⲛⲟⲩⲗⲁⲟⲥ ⲉⲧⲃⲉⲛⲉⲩϩⲃⲏⲩⲉ ⲉⲧϩⲟⲟⲩ ⲕⲁⲧⲁⲡϣⲁϫⲉ ⲙⲡⲉⲡⲣⲟⲫⲏⲧⲏⲥ ϫⲉⲛⲓⲙ ⲡⲉⲧⲛⲁϯⲛⲁⲓ ϩⲙⲡϫⲁⲓⲉ ⲛⲟⲩⲙⲁ ⲛϣⲱⲡⲉ ⲉϥⲟⲩⲏⲩ ⲛⲧⲁⲕⲱ ⲛⲥⲱⲓ ⲙⲡⲉⲓⲗⲁⲟⲥ ⲛⲧⲁⲟⲩⲉ ⲉⲃⲟⲗ ⲙⲙⲟⲟⲩ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0008 (CC BY 4.0),gold
"Blessed is everyone with whom God will be satisfied that He may be pleased to remain in their midst, like a just man content with just men and pleased to remain in their midst, because He Himself the Lord is in their midst at all times because of the right and just deeds.",ⲛⲁⲉⲓⲁⲧⲟⲩ ⲇⲉ ⲛⲟⲩⲟⲛ ⲛⲓⲙ ⲉⲧⲉⲣⲉⲡⲛⲟⲩⲧⲉ ⲛⲁⲧⲱⲧ ⲛϩⲏⲧ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ ⲉⲧⲣⲉϥⲣϩⲛⲁϥ ⲉϭⲱ ϩⲛⲧⲉⲩⲙⲏⲧⲉ · ⲛⲧϩⲉ ⲛⲟⲩⲣⲱⲙⲉ ⲛⲇⲓⲕⲁⲓⲟⲥ ⲉⲁϥⲧⲱⲧ ⲛϩⲏⲧ ⲛⲧⲟⲟⲧⲟⲩ ⲛϩⲉⲛⲣⲱⲙⲉ ⲙⲡⲓⲥⲧⲟⲥ ⲁⲩⲱ ⲉⲁϥⲣϩⲛⲁϥ ⲉϭⲱ ⲛⲟⲩⲟⲉⲓϣ ⲛⲓⲙ ϩⲛⲧⲉⲩⲙⲏⲧⲉ · ⲉⲧⲃⲉϫⲉⲛⲧⲟϥ ϩⲱⲱϥ ⲡϫⲟⲉⲓⲥ ϥⲱⲟⲟⲡ ϩⲛⲧⲉⲩⲙⲏⲧⲉ ⲛⲟⲩⲟⲉⲓϣ ⲛⲓⲙ ⲉⲧⲃⲉⲛⲉⲩϩⲃⲏⲩⲉ ⲙⲙⲉ ⲁⲩⲱ ⲛⲇⲓⲕⲁⲓⲟⲛ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0009 (CC BY 4.0),gold
"All those of us who see a deceitful thing in defilement or blasphemy or any other sort of sin leading to death and do not tell me who or what those wicked deeds are, all these curses will come down upon them from God, whether man or woman.",ⲟⲩⲟⲛ ⲇⲉ ⲛⲓⲙ ϩⲣⲁⲓ ⲛϩⲏⲧⲛ ⲉⲧⲛⲁⲛⲁⲩ ⲉⲩϩⲱⲃ ⲛⲕⲣⲟϥ ϩⲛⲟⲩϫⲱϩⲙ · ⲏ ϩⲛⲟⲩϫⲓⲟⲩⲉ ⲏ ϩⲛϭⲉⲗⲁⲁⲩ ⲛⲛⲟⲃⲉ ⲉϥϫⲓ ⲉϩⲟⲩⲛ ⲉⲡⲙⲟⲩ ⲁⲩⲱ ⲛⲧⲟⲟⲩ ⲛⲥⲉⲧⲙⲧⲁⲙⲟⲓ ϫⲉⲛⲓⲙ ⲡⲉ ⲏ ϫⲉⲟⲩ ⲛⲉ ⲛⲉϩⲃⲏⲩⲉ ⲛⲡⲟⲛⲏⲣⲟⲛ ⲉⲧⲙⲙⲁⲩ · ⲉⲩⲉⲉⲓ ⲉϩⲣⲁⲓ ⲉϫⲱⲟⲩ ⲛϭⲓⲛⲉⲓⲥⲁϩⲟⲩ ⲧⲏⲣⲟⲩ ⲉⲃⲟⲗ ϩⲓⲧⲛⲡⲛⲟⲩⲧⲉ ⲉϣⲱⲡⲉ ⲉⲩϩⲟⲟⲩⲧ ⲡⲉ ⲉϣⲱⲡⲉ ⲉⲩⲥϩⲓⲙⲉ ⲧⲉ ·,sahidic,UD_Coptic-Scriptorium/dev.conllu#shenoute_a22-a22_YA421-428_s0010 (CC BY 4.0),gold
